,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
0,-122.23,37.88,32.67229426642248,8.208605739831867,5.645033244377802,7.675270729038721,5.7050343231220095,2.7287230857663975,61.00371344474541,3.1131494673008824,-2.9572604562330014,0.8769147777769937,0,0,0,1,0
1,-122.22,37.86,17.07047637055554,11.413717347079801,8.717972006563178,11.487953111998559,8.974699264597005,2.7240707226319922,58.03679945385059,2.848109742428557,-2.82216678269023,0.707407366916943,0,0,0,1,0
8,-122.26,37.84,33.4349433561374,9.799169086349394,7.9541362302120415,10.09913293709712,7.961035728758785,0.797669961972391,52.585885186705205,2.062241207838872,-1.8116752046266416,0.6713293556969266,0,0,0,1,0
15,-122.26,37.85,39.491211723208174,8.560402489304138,6.7228073159219734,9.055987084907072,6.750996557970169,0.822821787289195,47.360432716559416,2.0389078404396788,-1.8642387497148756,0.9052498740481394,0,0,0,1,0
18,-122.26,37.84,39.491211723208174,9.59708836253593,7.399370780971335,9.717413944066651,7.430797768024588,0.7460338424793319,48.67226979487381,2.5062525533395403,-2.271722834329432,0.8081159014833879,0,0,0,1,0
20,-122.27,37.85,31.908291024388724,7.979884765197717,6.125904679060221,8.092188342369639,6.088904727228765,0.316845085709282,47.902540450512355,2.1642274543353324,-1.9196625938271503,0.8449600424615838,0,0,0,1,0
21,-122.27,37.85,33.4349433561374,9.125372791341608,7.090736371062883,9.595916033577167,7.229603699301294,0.5731953905758871,48.74549164221551,2.144079854521791,-2.085643628110089,0.8709863748184997,0,0,0,1,0
25,-122.28,37.85,32.67229426642248,7.497157675200947,5.581318215966446,7.648315868533527,5.626329070028559,0.9714468875152682,44.700351561031674,2.151834170275174,-2.0363117032452376,0.9130064495773391,0,0,0,1,0
26,-122.28,37.85,38.738278031491454,8.573458216588637,6.515471240404048,8.801346053591239,6.607300133890756,0.9996296015247417,43.38074612810954,2.252312788992552,-2.1544322712140915,0.8715012752985101,0,0,0,1,0
28,-122.28,37.84,39.491211723208174,9.48643129682556,7.512628106492378,9.974168029819989,7.612689569471302,0.5254789085666111,44.82745221987905,2.1103091002702694,-1.9855421414270187,0.8186292621836776,0,0,0,1,0
30,-122.28,37.84,38.738278031491454,9.360499142206878,7.3737475115624,9.45603480157705,7.277434157754922,0.7080987590900549,45.98198119237908,2.3949621750249515,-2.0091767545050705,0.7777698961692235,0,0,0,1,0
32,-122.27,37.84,37.98422590422581,9.365227580704849,7.245826197941928,9.78597201775774,7.098914004540727,0.6272596466170668,44.962183883248734,2.6602854159564324,-2.182381823542662,1.0327251317787505,0,0,0,1,0
33,-122.27,37.83,38.738278031491454,9.139942083587114,7.0868439912644225,9.202252379615512,7.072320908128515,0.3303669780639594,44.46073869784721,2.3791598887602685,-2.1090888650747037,0.7811505132918718,0,0,0,1,0
34,-122.27,37.83,40.24305096068541,9.86399681246271,7.7375054952334805,10.181706667858938,7.801847964939061,1.129468729900216,44.89949321570867,2.3550006071487672,-2.1592536239416784,0.8022115697286473,0,0,0,1,0
35,-122.27,37.83,38.738278031491454,8.680219737720257,6.717836038796302,8.686604643540997,6.750996557970169,0.4147026166024673,43.7219892468136,2.1982459663698495,-2.018710115860319,0.7280667264976307,0,0,0,1,0
41,-122.26,37.83,40.24305096068541,8.298160236878651,6.855696347646154,8.509895980378337,6.666389742417305,0.2582717146932051,48.078323928875584,1.812719670491617,-1.4024007378681107,0.6930203568185725,0,0,0,1,0
46,-122.26,37.83,39.491211723208174,8.566944065606656,6.904845350334467,8.828296380997037,6.956407491482991,0.7664225633526067,47.54367211167158,1.7843474139643682,-1.6473733580888383,0.671073413281806,0,0,0,1,0
47,-122.27,37.82,34.196272856783104,8.40468689598032,6.860231397177034,8.647939776060328,6.689407231815591,0.5871927527437022,47.17454700170561,1.9180898407159443,-1.51528948593158,0.7470600559179102,0,0,0,1,0
51,-122.27,37.82,34.196272856783104,9.322159686284815,7.40254386777309,9.85056789324974,7.387415505231402,0.42819696591284623,43.38074612810954,2.192788004779564,-1.9262912817071818,0.8942314042728455,0,0,0,1,0
